wafer_id,progress_pct,Q_score,Q_threshold,Q_ratio,q_delta,spc_state,spc_level,rule_hit,rule_message,lamp_color,blink,progress_resolution,raw_recalc_source
2901,3,5.966362076298287,9.47039177595818,0.6300016110679467,0.0,정상,1,없음,정상 범위,blue,False,3,raw_ev_oes_rfm_recalculated
2901,6,4.6558008704338185,10.855450834077338,0.4288906045079554,-1.3105612058644684,정상,1,없음,정상 범위,blue,False,3,raw_ev_oes_rfm_recalculated
2901,9,4.404965330253954,17.412710874552847,0.2529741268886182,-0.25083554017986476,정상,1,없음,정상 범위,blue,False,3,raw_ev_oes_rfm_recalculated
2901,12,5.679902651365924,13.505908684255068,0.42054946350906747,1.2749373211119703,정상,1,없음,정상 범위,blue,False,3,raw_ev_oes_rfm_recalculated
2901,15,5.272265830991781,11.792443012925332,0.4470885146710494,-0.40763682037414295,정상,1,없음,정상 범위,blue,False,3,raw_ev_oes_rfm_recalculated
2901,18,4.001440074810956,12.213810534166468,0.3276160264331491,-1.270825756180825,정상,1,없음,정상 범위,blue,False,3,raw_ev_oes_rfm_recalculated
2901,21,4.1931585773437865,12.643309547153189,0.33165039277931246,0.1917185025328303,정상,1,없음,정상 범위,blue,False,3,raw_ev_oes_rfm_recalculated
2901,24,4.3493587838397,13.11681096488293,0.3315866025274017,0.15620020649591382,관찰,2,R2: 3연속 Q_score 상승,현재 진행률 기준 관찰,green,False,3,raw_ev_oes_rfm_recalculated
2901,27,5.075516056404624,12.790324012662298,0.39682466616013107,0.7261572725649241,관찰,2,R2: 3연속 Q_score 상승,현재 진행률 기준 관찰,green,False,3,raw_ev_oes_rfm_recalculated
2901,30,5.862007185592613,16.24370481392083,0.3608787067202109,0.7864911291879881,관찰,2,R2: 3연속 Q_score 상승,현재 진행률 기준 관찰,green,False,3,raw_ev_oes_rfm_recalculated
2901,33,5.245311055910221,12.34229443293199,0.42498670603049005,-0.6166961296823912,정상,1,없음,정상 범위,blue,False,3,raw_ev_oes_rfm_recalculated
2901,36,6.543180597894463,11.165907510208608,0.5859963099203765,1.2978695419842419,정상,1,없음,정상 범위,blue,False,3,raw_ev_oes_rfm_recalculated
